title,year,director,actors,rating,runtime,genre
Masaan,7.60887062919126,Neeraj Ghaywan,"Richa Chadha, Sanjay Mishra, Vicky Kaushal, Pankaj Tripathi",99.74468116706201,109.0,Drama
Byzantium,7.607381425639791,Neil Jordan,"Saoirse Ronan, Gemma Arterton, Sam Riley, Caleb Landry Jones",61.34119912365712,118.0,Drama
Midway,7.61085279039525,Roland Emmerich,"Ed Skrein, Patrick Wilson, Woody Harrelson, Luke Evans",65.54208112702213,138.0,Action
Suburbicon,7.609862200913554,George Clooney,"Matt Damon, Julianne Moore, Oscar Isaac, Noah Jupe",46.1638902214069,105.0,Comedy
"Don't Worry, He Won't Get Far on Foot",7.610357618312838,Gus Van Sant,"Joaquin Phoenix, Jonah Hill, Rooney Mara, Jack Black",67.7050282591593,114.0,Biography
Kai po che!,7.607878073278507,Abhishek Kapoor,"Amit Sadh, Sushant Singh Rajput, Rajkummar Rao, Amrita Puri",91.69017539499492,130.0,Drama
Wildlife,7.610357618312838,Paul Dano,"Ed Oxenbould, Jake Gyllenhaal, Carey Mulligan, Travis W Bruyer",67.7050282591593,105.0,Drama
The Space Between Us,7.609862200913554,Peter Chelsom,"Gary Oldman, Asa Butterfield, Carla Gugino, Britt Robertson",59.30271698622398,120.0,Drama
The Many Saints of Newark,7.611842399580417,Alan Taylor,"Alessandro Nivola, Leslie Odom Jr., Jon Bernthal, Vera Farmiga",57.305172884912324,120.0,Crime
The Taking,7.608374474380783,Adam Robitel,"Jill Larson, Anne Ramsay, Michelle Ang, Brett Gentile",51.55537689731064,90.0,Horror
Pride,7.608374474380783,Matthew Warchus,"Bill Nighy, Imelda Staunton, Dominic West, Paddy Considine",91.69017539499492,119.0,Biography
Hansel & Gretel: Witch Hunters,7.607878073278507,Tommy Wirkola,"Jeremy Renner, Gemma Arterton, Peter Stormare, Famke Janssen",53.43178395413476,88.0,Action
Unconditional,7.607381425639791,Brent McCorkle,"Lynn Collins, Michael Ealy, Bruce McGill",67.7050282591593,92.0,Drama
99 Homes,7.608374474380783,Ramin Bahrani,"Andrew Garfield, Michael Shannon, Laura Dern, Clancy Brown",74.44714078403649,112.0,Crime
Lincoln,7.607381425639791,Steven Spielberg,"Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt",79.15561321339966,150.0,Biography
"Oh, Ramona!",7.61085279039525,Cristina Jacob,"Aggy K. Adams, Basil Eidenbenz, Ioachim Ciobanu",46.1638902214069,109.0,"Comedy, Romance"
Starship Troopers: Invasion,7.607381425639791,"Shinji Aramaki, Steven Foster","Luci Christian, David Matranga, Justin Doran",49.718783340774266,89.0,"Animation, Action, Science Fiction"
Disconnect,7.607381425639791,Henry Alex Rubin,"Jason Bateman, Jonah Bobo, Haley Ramm, Hope Davis",84.03753302013078,115.0,Drama
Willy's Wonderland,7.611842399580417,Kevin Lewis,"Nicolas Cage, Emily Tosta, Beth Grant, Ric Reitz",42.76479054591126,88.0,Action
Ratchet & Clank,7.6093665379542115,"Kevin Munroe, Jericca Cleland","James Arnold Taylor, David Kaye, Jim Ward",47.921717176698934,94.0,"Action, Adventure, Animation, Family"
Black as Night,7.611842399580417,Maritte Lee Go,"Asjha Cooper, Fabrizio Guido, Mason Beauchamp",42.76479054591126,87.0,"Horror, Thriller"
Why Him?,7.6093665379542115,John Hamburg,"Zoey Deutch, James Franco, Tangie Ambrose, Cedric the Entertainer",55.34828858751685,111.0,Comedy
Joe,7.607878073278507,David Gordon Green,"Nicolas Cage, Tye Sheridan, Gary Poulter, Ronnie Gene Blevins",67.7050282591593,117.0,Crime
School Dance,7.608374474380783,Nick Cannon,"Patrick Warburton, Pete Davidson, Tiffany Haddish",84.03753302013078,85.0,"Comedy, Music, Drama"
The Stanford Prison Experiment,7.60887062919126,Kyle Patrick Alvarez,"Ezra Miller, Tye Sheridan, Billy Crudup, Olivia Thirlby",67.7050282591593,122.0,Biography
Nomadland,7.611347717403621,Chloé Zhao,"Frances McDormand, David Strathairn, Linda May, Gay DeForest",79.15561321339966,107.0,Drama
Ghostheads,7.6093665379542115,Brendan Mertens,"Chace Ambrose, William Atherton, Dan Aykroyd",49.718783340774266,73.0,Documentary
Fruitvale Station,7.607878073278507,Ryan Coogler,"Michael B. Jordan, Melonie Diaz, Octavia Spencer, Kevin Durand",84.03753302013078,85.0,Biography
The Card Counter,7.611842399580417,Paul Schrader,"Oscar Isaac, Tiffany Haddish, Tye Sheridan, Willem Dafoe",55.34828858751685,111.0,Crime
Into the Woods,7.608374474380783,Rob Marshall,"Anna Kendrick, Meryl Streep, Chris Pine, Emily Blunt",49.718783340774266,125.0,Adventure
Friends: The Reunion,7.611842399580417,"Russell Norman, Ben Winston","Jennifer Aniston, Courteney Cox, Lisa Kudrow",99.74468116706201,104.0,Documentary
Going in Style,7.609862200913554,Zach Braff,"Michael Caine, Alan Arkin, Ann-Margret, Matt Dillon",63.42089566023286,96.0,Comedy
Lake Placid: Legacy,7.610357618312838,Darrell Roodt,"Katherine Barrell, Tim Rozon, Sai Bennett",39.519135538805955,93.0,"Horror, Action, Science Fiction, TV Movie"
Gabbar Is Back,7.60887062919126,Radha Krishna Jagarlamudi,"Akshay Kumar, Shruti Haasan, Kareena Kapoor, Suman",74.44714078403649,128.0,Action
Scooby-Doo! and Kiss: Rock and Roll Mystery,7.60887062919126,"Spike Brandt, Tony Cervone","Frank Welker, Mindy Cohn, Grey Griffin, Matthew Lillard",99.74468116706201,78.0,"Family, Animation, Comedy"
The Raven,7.607381425639791,James McTeigue,"John Cusack, Alice Eve, Luke Evans, Brendan Gleeson",59.30271698622398,110.0,Crime
Knight of Cups,7.60887062919126,Terrence Malick,"Christian Bale, Cate Blanchett, Natalie Portman, Brian Dennehy",44.44501216944001,118.0,Drama
The Guilt Trip,7.607381425639791,Anne Fletcher,"Barbra Streisand, Seth Rogen, Julene Renee, Zabryna Guevara",47.921717176698934,95.0,Comedy
The Post,7.609862200913554,Steven Spielberg,"Meryl Streep, Tom Hanks, Sarah Paulson, Bob Odenkirk",76.77982720685162,116.0,Biography
I Give It a Year,7.607878073278507,Dan Mazer,"Rose Byrne, Rafe Spall, Alex Macqueen, Stephen Merchant",46.1638902214069,97.0,Comedy
Bhoot Police,7.611842399580417,Pawan Kripalani,"Saif Ali Khan, Arjun Kapoor, Jacqueline Fernandez, Yami Gautam",72.1572896883122,129.0,Comedy
Stronger,7.609862200913554,David Gordon Green,"Jake Gyllenhaal, Tatiana Maslany, Miranda Richardson, Richard Lane Jr.",69.9100080306912,119.0,Biography
Miss Americana,7.611347717403621,Lana Wilson,"Taylor Swift, Andrea Swift, Scott Swift",94.33002052087464,85.0,"Documentary, Music"
Paul Blart: Mall Cop 2,7.60887062919126,Andy Fickman,"Kevin James, Raini Rodriguez, Eduardo Verástegui, Daniella Alonso",26.747698737853053,94.0,Action
Stolen,7.607381425639791,Simon West,"Nicolas Cage, Malin Akerman, Josh Lucas, Danny Huston",42.76479054591126,96.0,Action
Tooth Fairy 2,7.607381425639791,Alex Zamm,"Larry the Cable Guy, David Mackey, Erin Beute, John Connon",34.9331339775956,90.0,"Comedy, Family"
Prisoners of the Ghostland,7.611842399580417,Sion Sono,"Nicolas Cage, Sofia Boutella, Nick Cassavetes",36.42454008436073,103.0,"Action, Thriller"
"Monster High: Boo York, Boo York",7.60887062919126,"William Lau, Dan Fraga","Karen Strassman, Salli Saffioti, Wendee Lee, TJ Smith",86.54418743517611,71.0,"Animation, Family, Music"
Power/Rangers,7.609862200913554,Dean Israelite,"Dacre Montgomery, Naomi Scott, RJ Cyler",74.44714078403649,124.0,"Action, Adventure, Science Fiction, Thriller"
The Ouija Exorcism,7.60887062919126,Nick Slatkin,"J. Damian Anastasio, Brittney Bertier, Cameron Bigelow",24.302288068597193,87.0,Horror
The Comeback Trail,7.611347717403621,George Gallo,"Robert De Niro, Tommy Lee Jones, Morgan Freeman",47.921717176698934,104.0,"Comedy, Crime"
It Follows,7.608374474380783,David Robert Mitchell,"Maika Monroe, Keir Gilchrist, Olivia Luccardi, Lili Sepe",67.7050282591593,100.0,Horror
Don't Breathe,7.6093665379542115,Fede Alvarez,"Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto",74.44714078403649,88.0,Crime
Mission: Impossible - Rogue Nation,7.60887062919126,Christopher McQuarrie,"Tom Cruise, Rebecca Ferguson, Jeremy Renner, Simon Pegg",81.5747614577252,131.0,Action
PAW Patrol: Jet To The Rescue,7.611347717403621,Charles E. Bastien,"Lilly Noelle Bartlam, Caleb Bellavance, Anya Cooke",72.1572896883122,56.0,"Family, Animation"
Voyagers,7.611842399580417,Neil Burger,"Colin Farrell, Tye Sheridan, Lily-Rose Depp",55.34828858751685,108.0,"Science Fiction, Thriller"
Kidnapping Mr. Heineken,7.60887062919126,Daniel Alfredson,"Jim Sturgess, Sam Worthington, Ryan Kwanten",51.55537689731064,95.0,"Drama, Action, Crime, Thriller, Mystery"
Darlin',7.61085279039525,Pollyanna McIntosh,"Cooper Andrews, Lauryn Canny, Kristina Arntz",46.1638902214069,100.0,"Horror, Mystery"
Justice League: The Flashpoint Paradox,7.607878073278507,Jay Oliva,"Justin Chambers, C. Thomas Howell, Michael B. Jordan, Kevin McKidd",94.33002052087464,75.0,"Science Fiction, Animation, Action, Adventure"
The Professor,7.610357618312838,Wayne Roberts,"Johnny Depp, Rosemarie DeWitt, Odessa Young, Danny Huston",65.54208112702213,90.0,Comedy
Skin Trade,7.608374474380783,Ekachai Uekrongtham,"Dolph Lundgren, Tony Jaa, Ron Perlman",51.55537689731064,96.0,"Thriller, Action, Drama"
Tulip Fever,7.609862200913554,Justin Chadwick,"Alicia Vikander, Dane DeHaan, Jack O'Connell",61.34119912365712,105.0,"Drama, Romance"
Tau,7.610357618312838,Federico D'Alessandro,"Maika Monroe, Ed Skrein, Gary Oldman",55.34828858751685,97.0,"Science Fiction, Thriller"
Blue Bayou,7.611842399580417,Justin Chon,"Justin Chon, Alicia Vikander, Mark O'Brien",86.54418743517611,117.0,Drama
The Walking Deceased,7.60887062919126,Scott Dow,"Tim Ogletree, Joey Oglesby, Troy Ogletree",41.12293065704463,88.0,"Comedy, Horror"
Outlaw King,7.610357618312838,David Mackenzie,"Chris Pine, Stephen Dillane, Rebecca Robin, Billy Howle",69.9100080306912,121.0,Action
Despicable Me 3,7.609862200913554,"Directors:Kyle Balda, Pierre Coffin, Eric Guillon","Steve Carell, Kristen Wiig, Trey Parker, Miranda Cosgrove",55.34828858751685,89.0,Animation
The Avengers,7.607381425639791,Joss Whedon,"Robert Downey Jr., Chris Evans, Scarlett Johansson, Jeremy Renner",97.01477171215117,143.0,Action
Locke,7.607878073278507,Steven Knight,"Tom Hardy, Olivia Colman, Ruth Wilson, Andrew Scott",74.44714078403649,85.0,Drama
Grave,7.6093665379542115,Julia Ducournau,"Garance Marillier, Ella Rumpf, Rabah Nait Oufella, Laurent Lucas",72.1572896883122,99.0,Drama
Bigger Fatter Liar,7.609862200913554,Ron Oliver,"Barry Bostwick, Ricky Garcia, Jodelle Ferland",42.76479054591126,94.0,"Family, Comedy, Adventure"
Solo: A Star Wars Story,7.610357618312838,Ron Howard,"Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover",69.9100080306912,135.0,Action
Friend Request,7.6093665379542115,Simon Verhoeven,"Alycia Debnam-Carey, William Moseley, Connor Paolo, Brit Morgan",37.95310590351998,92.0,Horror
